building_code,room_code,type_name,name,asset_code,serial_number,installed_at,note
NT-B2,N2401,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-601,601,23/2/2026,
NT-B2,N2402,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-602,602,23/2/2026,
NT-B2,N2701,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-603,603,23/2/2026,
NT-B2,N2702,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-604,604,23/2/2026,
NT-B2,N2705,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-605,605,23/2/2026,
NT-B2,N2706,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-606,606,23/2/2026,
NT-B2,N2707,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-607,607,23/2/2026,
RT-B1,R1201,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-608,608,23/2/2026,
RT-B1,R1202,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-609,609,23/2/2026,
RT-B1,R1203,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-610,610,23/2/2026,
RT-B1,R1204,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-611,611,23/2/2026,
RT-B1,R1205,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-612,612,23/2/2026,
RT-B1,R1302,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-613,613,23/2/2026,
RT-B1,R1303,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-614,614,23/2/2026,
RT-B1,R1304,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-615,615,23/2/2026,
RT-B1,R1402,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-616,616,23/2/2026,
RT-B1,R1403,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-617,617,23/2/2026,
RT-B1,R1404,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-618,618,23/2/2026,
RT-B1,R1405,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-619,619,23/2/2026,
RT-B1,R1406,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-620,620,23/2/2026,
RT-B1,R1407,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-621,621,23/2/2026,
RT-B1,R1408,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-622,622,23/2/2026,
RT-B1,R1502,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-623,623,23/2/2026,
RT-B1,R1503,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-624,624,23/2/2026,
RT-B1,R1504,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-625,625,23/2/2026,
RT-B1,R1505,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-626,626,23/2/2026,
RT-B1,R1506,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-627,627,23/2/2026,
RT-B1,R1507,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-628,628,23/2/2026,
RT-B1,R1508,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-629,629,23/2/2026,
RT-B1,R1509,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-630,630,23/2/2026,
RT-B1,R1602,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-631,631,23/2/2026,
RT-B1,R1603,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-632,632,23/2/2026,
RT-B1,R1604,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-633,633,23/2/2026,
RT-B1,R1605,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-634,634,23/2/2026,
RT-B1,R1606,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-635,635,23/2/2026,
RT-B1,R1607,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-636,636,23/2/2026,
RT-B1,R1608,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-637,637,23/2/2026,
RT-B1,R1609,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-638,638,23/2/2026,
RT-B2,R2201,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-639,639,23/2/2026,
RT-B2,R2202,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-640,640,23/2/2026,
RT-B2,R2203,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-641,641,23/2/2026,
RT-B2,R2204,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-642,642,23/2/2026,
RT-B2,R2205,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-643,643,23/2/2026,
RT-B2,R2206,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-644,644,23/2/2026,
RT-B2,R2207,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-645,645,23/2/2026,
RT-B2,R2208,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-646,646,23/2/2026,
RT-B2,R2209,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-647,647,23/2/2026,
RT-B2,R2210,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-648,648,23/2/2026,
RT-B2,R2301,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-649,649,23/2/2026,
RT-B2,R2302,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-650,650,23/2/2026,
RT-B2,R2303,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-651,651,23/2/2026,
RT-B2,R2304,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-652,652,23/2/2026,
RT-B2,R2305,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-653,653,23/2/2026,
RT-B2,R2401,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-654,654,23/2/2026,
RT-B2,R2402,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-655,655,23/2/2026,
RT-B2,R2403,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-656,656,23/2/2026,
RT-B2,R2404,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-657,657,23/2/2026,
RT-B2,R2405,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-658,658,23/2/2026,
RT-B2,R2406,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-659,659,23/2/2026,
RT-B2,R2407,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-660,660,23/2/2026,
RT-B2,R2408,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-661,661,23/2/2026,
RT-B2,R2409,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-662,662,23/2/2026,
RT-B2,R2410,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-663,663,23/2/2026,
RT-B2,R2501,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-664,664,23/2/2026,
RT-B2,R2502,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-665,665,23/2/2026,
