building_code,room_code,type_name,name,asset_code,serial_number,installed_at,note
NT-B2,N2401,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-1601,1601,23/2/2026,
NT-B2,N2402,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-1602,1601,23/2/2026,
NT-B2,N2701,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-1603,1601,23/2/2026,
NT-B2,N2702,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-1604,1601,23/2/2026,
NT-B2,N2705,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-1605,1601,23/2/2026,
NT-B2,N2706,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-1606,1601,23/2/2026,
NT-B2,N2707,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-1607,1601,23/2/2026,
RT-B1,R1201,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-1608,1601,23/2/2026,
RT-B1,R1202,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-1609,1601,23/2/2026,
RT-B1,R1203,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-1610,1601,23/2/2026,
RT-B1,R1204,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-1611,1601,23/2/2026,
RT-B1,R1205,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-1612,1601,23/2/2026,
RT-B1,R1302,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-1613,1601,23/2/2026,
RT-B1,R1303,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-1614,1601,23/2/2026,
RT-B1,R1304,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-1615,1601,23/2/2026,
RT-B1,R1402,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-1616,1601,23/2/2026,
RT-B1,R1403,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-1617,1601,23/2/2026,
RT-B1,R1404,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-1618,1601,23/2/2026,
RT-B1,R1405,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-1619,1601,23/2/2026,
RT-B1,R1406,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-1620,1601,23/2/2026,
RT-B1,R1407,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-1621,1601,23/2/2026,
RT-B1,R1408,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-1622,1601,23/2/2026,
RT-B1,R1502,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-1623,1601,23/2/2026,
RT-B1,R1503,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-1624,1601,23/2/2026,
RT-B1,R1504,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-1625,1601,23/2/2026,
