building_code,room_code,type_name,name,asset_code,serial_number,installed_at,note
NT-B2,N2401,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-1,1,23/2/2026,
NT-B2,N2401,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-2,2,23/2/2026,
NT-B2,N2401,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-3,3,23/2/2026,
NT-B2,N2401,ไมค์สาย,ไมค์สาย 1,NBU3-4,4,23/2/2026,
NT-B2,N2401,ลำโพง,ลำโพง,NBU3-5,5,23/2/2026,
NT-B2,N2401,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-6,6,23/2/2026,
NT-B2,N2402,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-7,7,23/2/2026,
NT-B2,N2402,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-8,8,23/2/2026,
NT-B2,N2402,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-9,9,23/2/2026,
NT-B2,N2402,ไมค์สาย,ไมค์สาย 1,NBU3-10,10,23/2/2026,
NT-B2,N2402,ลำโพง,ลำโพง,NBU3-11,11,23/2/2026,
NT-B2,N2402,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-12,12,23/2/2026,
NT-B2,N2701,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-13,13,23/2/2026,
NT-B2,N2701,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-14,14,23/2/2026,
NT-B2,N2701,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-15,15,23/2/2026,
NT-B2,N2701,ไมค์สาย,ไมค์สาย 1,NBU3-16,16,23/2/2026,
NT-B2,N2701,ลำโพง,ลำโพง,NBU3-17,17,23/2/2026,
NT-B2,N2701,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-18,18,23/2/2026,
NT-B2,N2702,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-19,19,23/2/2026,
NT-B2,N2702,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-20,20,23/2/2026,
NT-B2,N2702,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-21,21,23/2/2026,
NT-B2,N2702,ไมค์สาย,ไมค์สาย 1,NBU3-22,22,23/2/2026,
NT-B2,N2702,ลำโพง,ลำโพง,NBU3-23,23,23/2/2026,
NT-B2,N2702,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-24,24,23/2/2026,
NT-B2,N2705,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-25,25,23/2/2026,
NT-B2,N2705,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-26,26,23/2/2026,
NT-B2,N2705,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-27,27,23/2/2026,
NT-B2,N2705,ไมค์สาย,ไมค์สาย 1,NBU3-28,28,23/2/2026,
NT-B2,N2705,ลำโพง,ลำโพง,NBU3-29,29,23/2/2026,
NT-B2,N2705,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-30,30,23/2/2026,
NT-B2,N2706,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-31,31,23/2/2026,
NT-B2,N2706,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-32,32,23/2/2026,
NT-B2,N2706,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-33,33,23/2/2026,
NT-B2,N2706,ไมค์สาย,ไมค์สาย 1,NBU3-34,34,23/2/2026,
NT-B2,N2706,ลำโพง,ลำโพง,NBU3-35,35,23/2/2026,
NT-B2,N2706,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-36,36,23/2/2026,
